Address	Balance
cc1rfvea9dw3wctnv0z6uqw6v7f28hk5gf4r0v74l	100
cc1ykfzvjd58cag7jlp3vfuc0jvpkwm240wdmfes9	200
cc19swd564q2hj9w7rn9dgd7ftlaspavq38y4p63v	200
cc1x3wxdww8a8nx33khgth8gawhrmnf6j9gkh8wu7	100
cc1fqcyy8fc5ap7hnz2uh9aqughq874uq6cymgj8s	100
cc1k2h63lt9upzr40rsa74w6gz57v52qpewy5w3xe	600
cc16yc25rmhpugwd8nu2xus2kazt04092jk0l9ufz	200
cc1m8fq6v8f5qsgk4qzgvqgx543wack72n0ak4k63	200
cc1m5lgtsrs6dx7mef2sehy0cpr5sv0vwfe0k8l6g	200
cc170x22t5decrgp3h65t2fevcsyte4geahw8dmnw	100
cc1x3xdfj8gsam2872y7ykrn4q9u2l64n2mx6x3ud	100
cc18xuf9hngrey0xe2dljxt9mjwksr42qcsz00ytn	100
cc1gfvfexqjhz660fwqfpyhutenzk788un29zh2xe	100
cc1ga6vrq6tw3lgvs7z5lr76j4mv6wt745cf2mr6v	100
cc1w79t4xnxhfvtu54m3ymw2fvthdj9pfg7h7wf9z	300
cc139rf2wl9mxa348tnr957ev7c4x85jjln9am59l	100
cc1jvv9j20fpajgp679hzk8kxulvqfrm79yr7gjr8	300
cc1e7rmfv2vlkn830396tl07jhqh822z0wd8x7k6j	100
cc1mv33hfvvu5pkajc6ear846yclcewceynehj2uj	100
cc17d4ua8vww2znmzg2w0h65qy7fpqpa25ktmflyg	100
cc1rt9tmq8d09um7f6ac4h2sh7fpfdsthlh0nfwsm	100
cc196trncnx44qvnwfg9urdmjefxv9wqycmladzkg	100
cc18mggys60cqx0792fe4qcsr2yew2spcqmz7d09a	100
cc12v9vx4pusuuvnrwjnjcm52ctavuav5dfg7sd0m	100
cc1sgs3xzsv9efa3q28dfcl736nvqr3ly94cvrgw0	100
cc15ls6jl06smv8jv59srpk7frtwummzzgghvk9lm	200
cc1r522p68hq2mqrqw3srv02vcqcy8uv9pdvz3yz6	100
cc1vqj0duk7y5fg0fnpc39y62psp86ychk5ec8hzp	100
cc1v5adcr4udfnrnsk7pgn0637s0wvntlzkxufz47	100
cc1035w0v49k5a9tdmx4g3334mdfhrr435qsh808c	100
cc138w80w697s05q55ynlulx66n3lns45825e9znp	100
cc1kepfjnafhxzy8patk0v70la7rtcns0jfc2qfql	100
cc1h5hj0epjwnh3qnpdpqk5yhttrfzwtsr7h7qysx	100
